Algorithm,R2_CV_Mean,R2_CV_Std,RMSE_CV_Mean,RMSE_CV_Std
Linear Regression,0.9769865113764125,0.002000311096361515,3.1002422943000214,0.1625550197219528
Ridge Regression,0.9761617158189482,0.002130914941816666,3.155369228346915,0.17152955763188427
Random Forest,0.99713297061725,0.001158299586030432,1.0735189027995198,0.20703515345379597
SVR,0.9334373974867182,0.006817468287903741,5.267614217299477,0.24439995193247302
KNN,0.9880575516761743,0.002153529290947789,2.226369649735369,0.22110859182782786
